Date,Asset,Price
2025-01-01,Amazon_Price,154.61999999999995
2025-01-02,Amazon_Price,153.9895452785249
2025-01-03,Amazon_Price,154.94905155401926
2025-01-04,Amazon_Price,154.92745113301544
2025-01-05,Amazon_Price,154.160150020198
2025-01-06,Amazon_Price,153.71142958214696
2025-01-07,Amazon_Price,154.1644004828418
2025-01-08,Amazon_Price,153.7502364446409
2025-01-09,Amazon_Price,153.44354365713772
2025-01-10,Amazon_Price,153.52272643333725
2025-01-11,Amazon_Price,152.97814094336763
2025-01-12,Amazon_Price,153.12625820272945
2025-01-13,Amazon_Price,153.67425287404237
2025-01-14,Amazon_Price,153.59878087038797
2025-01-15,Amazon_Price,152.8585481570164
2025-01-16,Amazon_Price,152.5770140204078
2025-01-17,Amazon_Price,152.66254972720432
2025-01-18,Amazon_Price,152.0765547241209
2025-01-19,Amazon_Price,152.46798246899468
2025-01-20,Amazon_Price,152.1882886862632
2025-01-21,Amazon_Price,151.85797176573914
2025-01-22,Amazon_Price,151.90518735985614
2025-01-23,Amazon_Price,152.6297692817143
2025-01-24,Amazon_Price,152.96163154681022
2025-01-25,Amazon_Price,152.23016627155937
2025-01-26,Amazon_Price,151.71932314769433
2025-01-27,Amazon_Price,151.1556642198917
2025-01-28,Amazon_Price,152.03057463762534
2025-01-29,Amazon_Price,151.5211421225879
2025-01-30,Amazon_Price,151.32750912528155
2025-01-31,Amazon_Price,151.98670286074662
2025-02-01,Amazon_Price,151.8152640973975
2025-02-02,Amazon_Price,151.2660475946368
2025-02-03,Amazon_Price,150.19110341104178
2025-02-04,Amazon_Price,150.0428992411687
2025-02-05,Amazon_Price,149.7652216954985
2025-02-06,Amazon_Price,150.24472960050153
2025-02-07,Amazon_Price,150.16414326811298
2025-02-08,Amazon_Price,150.53831185971444
2025-02-09,Amazon_Price,150.64132587167197
2025-02-10,Amazon_Price,150.3695456856077
2025-02-11,Amazon_Price,150.93011022059957
2025-02-12,Amazon_Price,152.1266316243401
2025-02-13,Amazon_Price,152.8721707055487
2025-02-14,Amazon_Price,153.57643410142782
2025-02-15,Amazon_Price,154.11920815913751
2025-02-16,Amazon_Price,154.01134859738485
2025-02-17,Amazon_Price,154.03228621736628
2025-02-18,Amazon_Price,153.51000987005008
2025-02-19,Amazon_Price,153.72497989801232
2025-02-20,Amazon_Price,154.1713389023285
2025-02-21,Amazon_Price,153.10858455248632
2025-02-22,Amazon_Price,155.21286920919184
2025-02-23,Amazon_Price,155.02255966650728
2025-02-24,Amazon_Price,155.94910093889607
2025-02-25,Amazon_Price,155.1524438118568
2025-02-26,Amazon_Price,154.76678384267788
2025-02-27,Amazon_Price,154.87109449171598
2025-02-28,Amazon_Price,155.41511669521148
2025-03-01,Amazon_Price,156.71307566008343
2025-03-02,Amazon_Price,157.20382231187867
2025-03-03,Amazon_Price,157.01360929179447
2025-03-04,Amazon_Price,157.6153046216697
2025-01-01,Apple_Price,185.92000000000004
2025-01-02,Apple_Price,186.17557162974023
2025-01-03,Apple_Price,188.62419756065597
2025-01-04,Apple_Price,189.9239690618605
2025-01-05,Apple_Price,190.45708281837472
2025-01-06,Apple_Price,191.48700712424755
2025-01-07,Apple_Price,192.95473075830327
2025-01-08,Apple_Price,193.82790797542282
2025-01-09,Apple_Price,195.28450787157414
2025-01-10,Apple_Price,196.69682287308714
2025-01-11,Apple_Price,198.67233168386795
2025-01-12,Apple_Price,200.52668840400764
2025-01-13,Apple_Price,202.89278483199806
2025-01-14,Apple_Price,204.5646195411485
2025-01-15,Apple_Price,205.20908030429015
2025-01-16,Apple_Price,206.50798277867983
2025-01-17,Apple_Price,208.01025497354954
2025-01-18,Apple_Price,209.04040473768373
2025-01-19,Apple_Price,210.85519245967993
2025-01-20,Apple_Price,212.31957143891498
